customer_id,signup_date,zone,area,home_lat,home_lng,vehicle_size,is_subscriber,total_bookings,avg_rating,complaints,days_since_last_booking,churned
U00001,2025-05-26,north,Cyber Hub,28.47399,77.10918,hatchback,0,7,3.57,1,110,
U00002,2025-01-29,north,Udyog Vihar,28.4997,77.08948,sedan,0,12,4.08,0,32,
U00003,2024-10-23,west,Palam Vihar,28.51986,77.03793,hatchback,1,26,4.38,0,18,1
U00004,2025-09-03,north,Cyber Hub,28.50218,77.07381,hatchback,1,29,4.1,0,2,1
U00005,2025-04-02,north,Golf Course Road,28.42636,77.11118,suv,1,21,3.0,4,44,1
U00006,2024-03-06,west,Sector 14,28.46561,77.00189,suv,0,9,4.11,0,93,
U00007,2024-08-15,north,Golf Course Road,28.44954,77.10927,hatchback,1,34,4.62,0,52,0
U00008,2024-04-13,east,Sector 56,28.41174,77.09967,hatchback,0,11,4.73,0,85,
U00009,2024-06-21,south,Sohna Road,28.38862,77.03753,sedan,0,4,4.25,0,7,
U00010,2025-01-29,north,DLF Phase 3,28.49917,77.10135,suv,0,8,3.88,0,78,
U00011,2024-05-28,north,Golf Course Road,28.41227,77.12029,sedan,0,10,3.5,0,13,
U00012,2025-10-08,north,Udyog Vihar,28.50962,77.08012,suv,0,8,3.38,0,34,
U00013,2024-10-23,west,New Gurgaon,28.42076,77.00732,sedan,1,29,3.79,0,5,0
U00014,2024-02-11,north,DLF Phase 3,28.49267,77.10525,suv,0,8,3.62,0,28,
U00015,2024-10-07,north,Cyber Hub,28.49148,77.10202,hatchback,0,8,3.25,1,215,
U00016,2024-12-21,east,Sector 56,28.42968,77.11547,hatchback,0,11,3.73,1,327,
U00017,2024-06-16,north,Golf Course Road,28.41953,77.11136,sedan,0,11,3.36,0,16,
U00018,2025-01-25,north,Golf Course Road,28.46285,77.11527,sedan,0,5,3.8,0,5,
U00019,2025-07-22,north,Cyber Hub,28.47169,77.08267,suv,1,29,4.07,0,7,0
U00020,2024-05-06,north,Cyber Hub,28.48995,77.10101,sedan,1,28,3.79,1,24,0
U00021,2025-09-03,west,New Gurgaon,28.40606,76.99692,suv,0,6,4.0,0,62,
U00022,2024-02-24,north,DLF Phase 3,28.49498,77.11482,hatchback,0,8,3.5,0,49,
U00023,2024-08-18,north,Golf Course Road,28.43051,77.09888,hatchback,0,4,3.25,0,101,
U00024,2024-02-06,north,Golf Course Road,28.44917,77.09833,sedan,0,7,3.57,0,95,
U00025,2024-10-01,north,Cyber Hub,28.48626,77.06311,hatchback,0,11,4.45,0,112,
U00026,2025-04-10,north,Golf Course Road,28.42525,77.10076,sedan,1,31,3.84,1,4,0
U00027,2025-06-08,north,Udyog Vihar,28.48337,77.08368,sedan,1,37,4.27,0,19,0
U00028,2025-11-24,north,DLF Phase 3,28.5013,77.08361,suv,0,5,4.2,0,293,
U00029,2025-05-01,east,Sector 56,28.43726,77.0996,hatchback,0,5,3.6,0,160,
U00030,2024-10-13,north,Cyber Hub,28.47516,77.0578,suv,1,32,3.59,0,8,0
U00031,2025-05-26,east,Sector 56,28.44377,77.09309,sedan,0,9,3.89,0,5,
U00032,2024-01-11,west,Palam Vihar,28.51802,77.03549,hatchback,0,6,4.0,0,84,
U00033,2024-02-11,north,DLF Phase 3,28.50364,77.09418,sedan,0,12,3.67,0,0,
U00034,2025-05-13,east,Sector 56,28.40851,77.07892,sedan,0,16,3.25,1,9,
U00035,2025-11-02,south,Sohna Road,28.39782,77.04702,suv,1,26,4.04,0,8,1
U00036,2024-12-27,north,Golf Course Road,28.4467,77.10947,sedan,0,13,4.69,0,28,
U00037,2025-07-20,north,Cyber Hub,28.51032,77.09092,sedan,1,33,4.0,0,37,0
U00038,2025-06-19,east,Sector 56,28.42138,77.09809,sedan,1,25,3.84,0,31,0
U00039,2025-08-19,north,Golf Course Road,28.44183,77.10201,hatchback,0,8,4.38,0,66,
U00040,2025-08-24,north,Cyber Hub,28.49796,77.08863,suv,1,30,4.6,0,13,0
U00041,2025-05-11,south,Sohna Road,28.4174,77.03613,hatchback,1,34,3.53,1,42,1
U00042,2025-03-08,west,Sector 14,28.46168,77.02105,suv,0,9,3.33,1,76,
U00043,2024-10-03,south,Sohna Road,28.42384,77.04826,sedan,1,26,3.54,0,38,0
U00044,2025-05-02,south,Sohna Road,28.42449,77.02692,sedan,1,19,4.32,0,80,0
U00045,2024-05-05,south,Sohna Road,28.39741,77.03819,sedan,1,27,4.04,0,37,1
U00046,2024-08-25,north,Cyber Hub,28.51132,77.08348,hatchback,0,12,3.67,0,92,
U00047,2024-10-16,south,Sohna Road,28.39098,77.03872,hatchback,0,15,4.2,0,86,
U00048,2024-01-26,south,Sohna Road,28.41506,77.04342,sedan,0,10,4.2,0,74,
U00049,2024-07-21,south,Manesar,28.33649,76.94032,suv,1,41,3.78,0,3,0
U00050,2025-08-12,north,Udyog Vihar,28.50386,77.05987,hatchback,0,3,3.67,0,146,
U00051,2024-03-29,north,Cyber Hub,28.49134,77.09012,sedan,0,7,3.71,0,3,
U00052,2025-10-05,north,Udyog Vihar,28.49504,77.07937,sedan,0,6,4.33,0,95,
U00053,2024-06-27,north,Golf Course Road,28.45397,77.12391,sedan,0,10,3.6,0,116,
U00054,2024-09-04,north,Cyber Hub,28.48828,77.08323,hatchback,1,38,4.08,0,28,0
U00055,2024-06-22,north,Golf Course Road,28.42477,77.09837,sedan,0,8,4.25,0,115,
U00056,2024-04-25,west,Sector 14,28.46563,77.02807,hatchback,1,41,3.9,0,2,0
U00057,2024-09-27,north,Udyog Vihar,28.50848,77.08682,hatchback,0,5,4.8,0,205,
U00058,2024-09-08,west,Palam Vihar,28.50023,77.05103,hatchback,1,30,4.53,0,23,0
U00059,2025-01-23,north,Cyber Hub,28.48799,77.08599,hatchback,0,8,4.25,0,86,
U00060,2025-02-16,north,Cyber Hub,28.48475,77.07259,suv,0,7,4.43,0,221,
U00061,2025-03-26,north,Udyog Vihar,28.49611,77.09211,sedan,1,29,3.9,1,69,0
U00062,2024-03-05,north,Cyber Hub,28.49392,77.10577,sedan,0,7,4.43,0,24,
U00063,2025-10-02,north,Cyber Hub,28.50134,77.08205,suv,0,8,3.75,0,3,
U00064,2025-10-24,north,Golf Course Road,28.45393,77.07576,hatchback,0,10,4.0,0,39,
U00065,2025-01-03,north,Cyber Hub,28.48208,77.07458,sedan,0,12,4.17,0,18,
U00066,2024-09-14,west,Sector 14,28.46272,77.02988,sedan,0,8,4.62,0,12,
U00067,2025-05-30,north,DLF Phase 3,28.49836,77.08677,sedan,1,30,3.37,0,26,0
U00068,2024-04-05,south,Sohna Road,28.38944,77.05226,hatchback,0,7,3.57,0,10,
U00069,2025-07-30,north,Udyog Vihar,28.5298,77.09979,hatchback,0,5,4.0,0,4,
U00070,2024-12-31,north,Golf Course Road,28.43123,77.10347,sedan,0,12,3.42,0,17,
U00071,2025-08-18,south,Manesar,28.36837,76.93677,sedan,0,11,4.09,0,95,
U00072,2024-10-02,west,Palam Vihar,28.51886,77.04324,suv,1,10,3.8,0,53,0
U00073,2024-03-18,north,DLF Phase 3,28.4793,77.07689,hatchback,0,7,4.0,0,149,
U00074,2024-12-09,south,Sohna Road,28.42403,77.0101,sedan,1,31,3.48,2,4,0
U00075,2025-08-05,north,Golf Course Road,28.44757,77.10044,sedan,1,30,3.43,1,17,1
U00076,2024-08-31,north,Udyog Vihar,28.51698,77.08207,suv,0,6,3.83,0,1,
U00077,2024-12-11,south,Sohna Road,28.40651,77.02617,sedan,1,20,4.45,0,50,1
U00078,2025-02-09,north,Golf Course Road,28.43816,77.11621,sedan,0,6,4.17,0,102,
U00079,2024-03-22,west,New Gurgaon,28.40848,76.96544,sedan,0,4,4.5,0,293,
U00080,2025-07-13,north,DLF Phase 3,28.5158,77.09286,hatchback,0,11,3.55,0,24,
U00081,2024-05-12,west,Sector 14,28.47675,77.02525,sedan,0,10,4.5,0,17,
U00082,2025-10-26,west,Sector 14,28.46363,77.03251,sedan,0,10,3.3,0,296,
U00083,2024-01-14,north,DLF Phase 3,28.50338,77.10809,hatchback,0,6,4.17,0,50,
U00084,2025-01-01,north,Cyber Hub,28.49397,77.09162,suv,0,7,4.0,0,13,
U00085,2025-10-24,north,DLF Phase 3,28.50728,77.09507,hatchback,0,10,4.6,0,16,
U00086,2025-01-06,north,Cyber Hub,28.5138,77.07069,hatchback,0,5,3.4,0,60,
U00087,2024-06-14,north,Golf Course Road,28.44466,77.08707,sedan,0,5,4.2,0,79,
U00088,2025-11-06,south,Sohna Road,28.39676,77.0428,suv,1,29,4.0,0,45,0
U00089,2024-09-14,west,Sector 14,28.4906,77.04586,hatchback,1,28,3.61,0,45,0
U00090,2024-09-30,north,Udyog Vihar,28.49729,77.10808,suv,0,8,3.5,0,180,
U00091,2025-03-25,north,DLF Phase 3,28.49052,77.10764,hatchback,1,33,4.58,0,17,1
U00092,2024-04-02,north,DLF Phase 3,28.47726,77.10197,sedan,0,8,4.12,0,43,
U00093,2025-08-11,west,Palam Vihar,28.5152,77.04143,sedan,0,9,3.56,0,11,
U00094,2024-03-20,north,Udyog Vihar,28.50362,77.09553,hatchback,0,10,3.3,1,149,
U00095,2024-01-11,east,Sector 56,28.42837,77.08818,hatchback,0,12,4.58,0,77,
U00096,2024-06-03,north,Golf Course Road,28.45035,77.08931,sedan,0,7,4.29,0,67,
U00097,2024-07-22,north,Golf Course Road,28.44904,77.09355,sedan,1,30,4.03,1,6,0
U00098,2025-04-29,north,Udyog Vihar,28.49551,77.08048,suv,0,11,4.0,0,39,
U00099,2025-09-19,south,Sohna Road,28.39739,77.03497,sedan,0,8,3.88,0,25,
U00100,2025-01-07,east,Sector 56,28.40944,77.10543,sedan,0,7,3.86,0,25,
